time, current_radius, angularVelocity, angleTarget
0.000000, 0.250000, 0.000000, 0.392699, 0.000000
1.000000, 0.250000, 0.000000, 0.392699, 0.000000
2.000000, 0.249220, 0.024740, 0.392699, 0.017719
3.000000, 0.248028, 0.040164, 0.392699, 0.046484
4.000000, 0.246928, 0.050338, 0.392699, 0.082536
5.000000, 0.246306, 0.056906, 0.392699, 0.123292
6.000000, 0.246702, 0.061167, 0.785398, 0.167100
7.000000, 0.247867, 0.063873, 0.785398, 0.212845
8.000000, 0.248400, 0.065512, 0.785398, 0.259765
9.000000, 0.248635, 0.067274, 0.785398, 0.307946
10.000000, 0.248905, 0.069057, 0.785398, 0.357405
11.000000, 0.249392, 0.069142, 0.785398, 0.406924
12.000000, 0.250179, 0.069195, 1.178097, 0.456481
13.000000, 0.251316, 0.069194, 1.178097, 0.506038
14.000000, 0.251862, 0.068536, 1.178097, 0.555123
15.000000, 0.252061, 0.068338, 1.178097, 0.604066
16.000000, 0.252190, 0.068253, 1.178097, 0.652949
17.000000, 0.252454, 0.068202, 1.178097, 0.701795
18.000000, 0.252905, 0.068168, 1.570796, 0.750617
19.000000, 0.253493, 0.068223, 1.570796, 0.799477
20.000000, 0.253446, 0.067528, 1.570796, 0.847841
21.000000, 0.253131, 0.067519, 1.570796, 0.896197
22.000000, 0.252803, 0.067690, 1.570796, 0.944677
23.000000, 0.252667, 0.067964, 1.963496, 0.993353
24.000000, 0.252765, 0.068070, 1.963496, 1.042104
25.000000, 0.252244, 0.066360, 1.963496, 1.089631
26.000000, 0.251433, 0.065615, 1.963496, 1.136624
27.000000, 0.250632, 0.065312, 1.963496, 1.183401
28.000000, 0.250068, 0.065224, 1.963496, 1.230114
29.000000, 0.249866, 0.065258, 2.356195, 1.276852
30.000000, 0.250110, 0.065380, 2.356195, 1.323676
31.000000, 0.249734, 0.066209, 2.356195, 1.371095
32.000000, 0.249088, 0.067289, 2.356195, 1.419288
33.000000, 0.248590, 0.068334, 2.356195, 1.468228
34.000000, 0.248500, 0.069278, 2.356195, 1.517845
35.000000, 0.248985, 0.070169, 2.748894, 1.567591
36.000000, 0.250136, 0.071073, 2.748894, 1.616688
37.000000, 0.250811, 0.069915, 2.748894, 1.666615
38.000000, 0.251129, 0.069212, 2.748894, 1.716184
39.000000, 0.251386, 0.069012, 2.748894, 1.765611
40.000000, 0.251753, 0.068907, 2.748894, 1.814961
41.000000, 0.252339, 0.068900, 3.141593, 1.864307
42.000000, 0.253115, 0.068793, 3.141593, 1.913577
43.000000, 0.253318, 0.068025, 3.141593, 1.962296
44.000000, 0.253158, 0.067968, 3.141593, 2.010975
45.000000, 0.252915, 0.067838, 3.141593, 2.059561
46.000000, 0.252787, 0.067988, 3.141593, 2.108253
47.000000, 0.252869, 0.068067, 3.534292, 2.157003
48.000000, 0.253147, 0.068165, 3.534292, 2.205822
49.000000, 0.252871, 0.067648, 3.534292, 2.254272
50.000000, 0.252370, 0.066374, 3.534292, 2.301808
51.000000, 0.251882, 0.065647, 3.534292, 2.348825
52.000000, 0.251519, 0.065229, 3.534292, 2.395541
53.000000, 0.251477, 0.065394, 3.926991, 2.442376
