http://www.zerorobotics.org/web/zero-robotics/zr-ide?p_p_id=ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1&p_p_lifecycle=0&p_p_state=exclusive&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_ProjectEditingIDE_WAR_zeroroboticsportlet_INSTANCE_Vay1_view=visualization&simulationId=9033&gameId=1

SPH1: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 1.208229
Time: 2.000000, Points: 0.000000, Fuel Used: 2.425087
Time: 3.000000, Points: 0.000000, Fuel Used: 3.660934
Time: 4.000000, Points: 0.000000, Fuel Used: 4.542946
SPH1: Time: 5.000000, Points: 0.000000, Fuel Used: 5.100456
Time: 6.000000, Points: 0.000000, Fuel Used: 5.459473
Time: 7.000000, Points: 0.000000, Fuel Used: 5.692490
Time: 8.000000, Points: 0.000000, Fuel Used: 5.844383
Time: 9.000000, Points: 0.000000, Fuel Used: 5.944489
SPH1: Time: 10.000000, Points: 0.000000, Fuel Used: 6.008354
Time: 11.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 12.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 13.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 14.000000, Points: 0.000000, Fuel Used: 6.049782
SPH1: Time: 15.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 16.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 17.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 18.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 19.000000, Points: 0.000000, Fuel Used: 6.049782
SPH1: Time: 20.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 21.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 22.000000, Points: 0.000000, Fuel Used: 6.049782
Time: 23.000000, Points: 0.000000, Fuel Used: 6.377724
Time: 24.000000, Points: 0.000000, Fuel Used: 6.646988
SPH1: Time: 25.000000, Points: 0.000000, Fuel Used: 7.651550
Time: 26.000000, Points: 0.000000, Fuel Used: 7.703331
Time: 27.000000, Points: 0.000000, Fuel Used: 7.753380
Time: 28.000000, Points: 0.000000, Fuel Used: 7.825874
Time: 29.000000, Points: 0.000000, Fuel Used: 8.625038
SPH1: Time: 30.000000, Points: 0.000000, Fuel Used: 8.737228
Time: 31.000000, Points: 0.000000, Fuel Used: 8.833885
Time: 32.000000, Points: 0.000000, Fuel Used: 8.937447
Time: 33.000000, Points: 0.000000, Fuel Used: 9.645126
Time: 34.000000, Points: 0.000000, Fuel Used: 9.803925
SPH1: Time: 35.000000, Points: 0.000000, Fuel Used: 9.938553
Time: 36.000000, Points: 0.000000, Fuel Used: 10.080086
Time: 37.000000, Points: 0.000000, Fuel Used: 10.223351
Time: 38.000000, Points: 0.000000, Fuel Used: 10.889603
Time: 39.000000, Points: 0.000000, Fuel Used: 11.426399
SPH1: Time: 40.000000, Points: 0.000000, Fuel Used: 11.719826
Time: 41.000000, Points: 0.000000, Fuel Used: 12.027061
Time: 42.000000, Points: 0.000000, Fuel Used: 12.294601
Time: 43.000000, Points: 0.000000, Fuel Used: 12.534523
Time: 44.000000, Points: 0.000000, Fuel Used: 13.038528
SPH1: Time: 45.000000, Points: 0.000000, Fuel Used: 13.325050
Time: 46.000000, Points: 0.000000, Fuel Used: 13.561516
Time: 47.000000, Points: 0.000000, Fuel Used: 13.951599
Time: 48.000000, Points: 0.000000, Fuel Used: 14.286453
Time: 49.000000, Points: 0.000000, Fuel Used: 14.578156
SPH1: Time: 50.000000, Points: 0.000000, Fuel Used: 14.837059
Time: 51.000000, Points: 0.000000, Fuel Used: 15.071800
Time: 52.000000, Points: 0.000000, Fuel Used: 15.284103
Time: 53.000000, Points: 0.000000, Fuel Used: 15.477425
Time: 54.000000, Points: 0.000000, Fuel Used: 15.908936
SPH1: Time: 55.000000, Points: 0.000000, Fuel Used: 16.176468
Time: 56.000000, Points: 0.000000, Fuel Used: 16.576912
Time: 57.000000, Points: 0.000000, Fuel Used: 16.875519
Time: 58.000000, Points: 0.000000, Fuel Used: 17.113708
Time: 59.000000, Points: 0.000000, Fuel Used: 17.714371
SPH1: Time: 60.000000, Points: 0.052719, Fuel Used: 18.047501
Time: 61.000000, Points: 0.113228, Fuel Used: 18.384079
Time: 62.000000, Points: 0.163185, Fuel Used: 18.881180
Time: 63.000000, Points: 0.221486, Fuel Used: 19.191864
Time: 64.000000, Points: 0.285530, Fuel Used: 19.469757
SPH1: Time: 65.000000, Points: 0.343291, Fuel Used: 19.739021
Time: 66.000000, Points: 0.395730, Fuel Used: 20.003105
Time: 67.000000, Points: 0.459440, Fuel Used: 20.460510
Time: 68.000000, Points: 0.512803, Fuel Used: 20.952431
Time: 69.000000, Points: 0.573899, Fuel Used: 21.368408
SPH1: Time: 70.000000, Points: 0.636710, Fuel Used: 21.741234
Time: 71.000000, Points: 0.694431, Fuel Used: 22.077812
Time: 72.000000, Points: 0.755815, Fuel Used: 22.438553
Time: 73.000000, Points: 0.818609, Fuel Used: 22.821732
Time: 74.000000, Points: 0.875678, Fuel Used: 23.123795
SPH1: Time: 75.000000, Points: 0.939469, Fuel Used: 23.527687
Time: 76.000000, Points: 0.993895, Fuel Used: 23.790047
Time: 77.000000, Points: 1.040887, Fuel Used: 24.000618
Time: 78.000000, Points: 1.078476, Fuel Used: 24.338928
Time: 79.000000, Points: 1.108485, Fuel Used: 24.613365
SPH1: Time: 80.000000, Points: 1.150052, Fuel Used: 25.179512
Time: 81.000000, Points: 1.183899, Fuel Used: 25.507454
Time: 82.000000, Points: 1.211358, Fuel Used: 25.773270
Time: 83.000000, Points: 1.251255, Fuel Used: 26.327324
Time: 84.000000, Points: 1.287461, Fuel Used: 26.498207
SPH1: Time: 85.000000, Points: 1.334772, Fuel Used: 26.960785
Time: 86.000000, Points: 1.392123, Fuel Used: 27.323250
Time: 87.000000, Points: 1.456015, Fuel Used: 27.595970
Time: 88.000000, Points: 1.512079, Fuel Used: 27.804817
Time: 89.000000, Points: 1.562014, Fuel Used: 28.036110
SPH1: Time: 90.000000, Points: 1.626765, Fuel Used: 28.588440
Time: 91.000000, Points: 1.678704, Fuel Used: 29.030312
Time: 92.000000, Points: 1.719786, Fuel Used: 29.384148
Time: 93.000000, Points: 1.771276, Fuel Used: 29.870895
Time: 94.000000, Points: 1.825521, Fuel Used: 30.625175
SPH1: Time: 95.000000, Points: 1.888843, Fuel Used: 31.010078
Time: 96.000000, Points: 1.950600, Fuel Used: 31.415703
Time: 97.000000, Points: 2.007720, Fuel Used: 31.764359
Time: 98.000000, Points: 2.060842, Fuel Used: 32.056061
Time: 99.000000, Points: 2.110563, Fuel Used: 32.278725
SPH1: Time: 100.000000, Points: 2.157169, Fuel Used: 32.506561
Time: 101.000000, Points: 2.201203, Fuel Used: 32.763741
Time: 102.000000, Points: 2.243599, Fuel Used: 33.043358
Time: 103.000000, Points: 2.285140, Fuel Used: 33.341965
Time: 104.000000, Points: 2.340601, Fuel Used: 33.899475
SPH1: Time: 105.000000, Points: 2.399461, Fuel Used: 34.489784
Time: 106.000000, Points: 2.445757, Fuel Used: 34.966171
Time: 107.000000, Points: 2.485812, Fuel Used: 35.240608
Time: 108.000000, Points: 2.535071, Fuel Used: 35.763603
Time: 109.000000, Points: 2.578075, Fuel Used: 36.034592
SPH1: Time: 110.000000, Points: 2.615917, Fuel Used: 36.260700
Time: 111.000000, Points: 2.645960, Fuel Used: 36.521336
Time: 112.000000, Points: 2.687021, Fuel Used: 37.090927
Time: 113.000000, Points: 2.723386, Fuel Used: 37.258354
Time: 114.000000, Points: 2.756191, Fuel Used: 37.396439
SPH1: Time: 115.000000, Points: 2.785976, Fuel Used: 37.510357
Time: 116.000000, Points: 2.809949, Fuel Used: 37.722660
Time: 117.000000, Points: 2.845791, Fuel Used: 38.326775
Time: 118.000000, Points: 2.875250, Fuel Used: 38.611572
Time: 119.000000, Points: 2.916157, Fuel Used: 39.163906
SPH1: Time: 120.000000, Points: 2.967022, Fuel Used: 39.614403
Time: 121.000000, Points: 3.026891, Fuel Used: 39.980324
Time: 122.000000, Points: 3.080313, Fuel Used: 40.311722
Time: 123.000000, Points: 3.124525, Fuel Used: 40.736328
Time: 124.000000, Points: 3.179066, Fuel Used: 41.140224
SPH1: Time: 125.000000, Points: 3.243130, Fuel Used: 41.450912
Time: 126.000000, Points: 3.300672, Fuel Used: 41.673573
Time: 127.000000, Points: 3.351528, Fuel Used: 41.894505
Time: 128.000000, Points: 3.396980, Fuel Used: 42.124069
Time: 129.000000, Points: 3.458885, Fuel Used: 42.683304
SPH1: Time: 130.000000, Points: 3.513597, Fuel Used: 43.128624
Time: 131.000000, Points: 3.561507, Fuel Used: 43.389256
Time: 132.000000, Points: 3.619383, Fuel Used: 43.851837
Time: 133.000000, Points: 3.669685, Fuel Used: 44.102112
Time: 134.000000, Points: 3.713686, Fuel Used: 44.307510
SPH1: Time: 135.000000, Points: 3.749090, Fuel Used: 44.542255
Time: 136.000000, Points: 3.777454, Fuel Used: 44.732117
Time: 137.000000, Points: 3.818979, Fuel Used: 45.327602
Time: 138.000000, Points: 3.852649, Fuel Used: 45.612400
Time: 139.000000, Points: 3.898845, Fuel Used: 46.163006
SPH1: Time: 140.000000, Points: 3.955860, Fuel Used: 46.611778
Time: 141.000000, Points: 3.988286, Fuel Used: 47.562828
Time: 142.000000, Points: 3.995140, Fuel Used: 48.536316
Time: 143.000000, Points: 4.016302, Fuel Used: 49.533970
Time: 144.000000, Points: 4.066957, Fuel Used: 50.557510
SPH1: Time: 145.000000, Points: 4.113127, Fuel Used: 51.610397
Time: 146.000000, Points: 4.125371, Fuel Used: 52.699532
Time: 147.000000, Points: 4.125371, Fuel Used: 53.826637
Time: 148.000000, Points: 4.125371, Fuel Used: 55.003796
Time: 149.000000, Points: 4.125371, Fuel Used: 56.243095
SPH1: Time: 150.000000, Points: 4.125371, Fuel Used: 57.249378
Time: 151.000000, Points: 4.146172, Fuel Used: 57.617027
Time: 152.000000, Points: 4.194508, Fuel Used: 57.696423
Time: 153.000000, Points: 4.255280, Fuel Used: 58.064072
Time: 154.000000, Points: 4.301021, Fuel Used: 58.602596
SPH1: Time: 155.000000, Points: 4.336044, Fuel Used: 59.244682
Time: 156.000000, Points: 4.363264, Fuel Used: 59.923019
Time: 157.000000, Points: 4.384756, Fuel Used: 60.597900
Time: 158.000000, Points: 4.384756, Fuel Used: 61.250343
Time: 159.000000, Points: 4.384756, Fuel Used: 61.854462
SPH1: Time: 160.000000, Points: 4.384756, Fuel Used: 62.403343
Time: 161.000000, Points: 4.384756, Fuel Used: 62.896988
Time: 162.000000, Points: 4.384756, Fuel Used: 63.335403
Time: 163.000000, Points: 4.384756, Fuel Used: 63.716862
Time: 164.000000, Points: 4.384756, Fuel Used: 64.048260
SPH1: Time: 165.000000, Points: 4.384756, Fuel Used: 64.336510
Time: 166.000000, Points: 4.384756, Fuel Used: 64.583332
Time: 167.000000, Points: 4.384756, Fuel Used: 64.795635
Time: 168.000000, Points: 4.384756, Fuel Used: 64.976871
Time: 169.000000, Points: 4.384756, Fuel Used: 65.128761
SPH1: Time: 170.000000, Points: 4.384756, Fuel Used: 65.256489
Time: 171.000000, Points: 7.384756, Fuel Used: 65.363506
Time: 172.000000, Points: 7.384756, Fuel Used: 65.454987
Time: 173.000000, Points: 7.384756, Fuel Used: 65.518848
Time: 174.000000, Points: 7.384756, Fuel Used: 65.572357
SPH1: Time: 175.000000, Points: 7.384756, Fuel Used: 65.618958
Time: 176.000000, Points: 7.384756, Fuel Used: 65.656933
Time: 177.000000, Points: 7.384756, Fuel Used: 65.689728
Time: 178.000000, Points: 7.384756, Fuel Used: 65.719070
Time: 179.000000, Points: 7.384756, Fuel Used: 65.744961
