SPH2: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 0.692146
Time: 2.000000, Points: 0.000000, Fuel Used: 1.384285
Time: 3.000000, Points: 0.000000, Fuel Used: 2.076431
Time: 4.000000, Points: 0.000000, Fuel Used: 2.794464
SPH1: Time: 0.000000, Points: 0.000000, Fuel Used: 0.000000
Time: 1.000000, Points: 0.000000, Fuel Used: 0.921707
Time: 2.000000, Points: 0.000000, Fuel Used: 1.845139
Time: 3.000000, Points: 0.000000, Fuel Used: 2.775475
Time: 4.000000, Points: 0.000000, Fuel Used: 3.710991
SPH2: Time: 5.000000, Points: 0.000000, Fuel Used: 3.319183
Time: 6.000000, Points: 0.000000, Fuel Used: 3.655762
Time: 7.000000, Points: 0.000000, Fuel Used: 3.869789
Time: 8.000000, Points: 0.000000, Fuel Used: 4.006142
Time: 9.000000, Points: 0.000000, Fuel Used: 4.080368
SPH1: Time: 5.000000, Points: 0.000000, Fuel Used: 4.651688
Time: 6.000000, Points: 0.000000, Fuel Used: 5.602737
Time: 7.000000, Points: 0.000000, Fuel Used: 6.562416
Time: 8.000000, Points: 0.000000, Fuel Used: 7.534172
Time: 9.000000, Points: 0.000000, Fuel Used: 8.518021
SPH2: Time: 10.000000, Points: 0.000000, Fuel Used: 4.126968
Time: 11.000000, Points: 0.000000, Fuel Used: 4.171844
Time: 12.000000, Points: 0.000000, Fuel Used: 4.189102
Time: 13.000000, Points: 0.000000, Fuel Used: 4.189102
Time: 14.000000, Points: 0.000000, Fuel Used: 4.189102
SPH1: Time: 10.000000, Points: 0.000000, Fuel Used: 9.519127
Time: 11.000000, Points: 0.000000, Fuel Used: 10.471901
Time: 12.000000, Points: 0.000000, Fuel Used: 10.699738
Time: 13.000000, Points: 0.000000, Fuel Used: 10.948288
Time: 14.000000, Points: 0.000000, Fuel Used: 11.495445
SPH2: Time: 15.000000, Points: 0.000000, Fuel Used: 4.189102
Time: 16.000000, Points: 0.000000, Fuel Used: 4.189102
Time: 17.000000, Points: 0.000000, Fuel Used: 4.189102
Time: 18.000000, Points: 0.000000, Fuel Used: 4.206367
Time: 19.000000, Points: 0.000000, Fuel Used: 4.206367
SPH1: Time: 15.000000, Points: 0.000000, Fuel Used: 12.216927
Time: 16.000000, Points: 0.000000, Fuel Used: 13.024719
Time: 17.000000, Points: 0.000000, Fuel Used: 13.858398
Time: 18.000000, Points: 0.000000, Fuel Used: 14.685173
Time: 19.000000, Points: 0.000000, Fuel Used: 15.477425
SPH2: Time: 20.000000, Points: 0.000000, Fuel Used: 4.206367
Time: 21.000000, Points: 0.000000, Fuel Used: 4.206367
Time: 22.000000, Points: 0.000000, Fuel Used: 4.206367
Time: 23.000000, Points: 0.000000, Fuel Used: 4.206367
Time: 24.000000, Points: 0.000000, Fuel Used: 5.065933
SPH1: Time: 20.000000, Points: 0.000000, Fuel Used: 16.221344
Time: 21.000000, Points: 0.000000, Fuel Used: 16.901405
Time: 22.000000, Points: 0.000000, Fuel Used: 17.510704
Time: 23.000000, Points: 0.000000, Fuel Used: 18.061310
Time: 24.000000, Points: 0.000000, Fuel Used: 18.549782
SPH2: Time: 25.000000, Points: 0.000000, Fuel Used: 5.202293
Time: 26.000000, Points: 0.000000, Fuel Used: 5.323112
Time: 27.000000, Points: 0.000000, Fuel Used: 5.437035
Time: 28.000000, Points: 0.000000, Fuel Used: 6.016983
Time: 29.000000, Points: 0.000000, Fuel Used: 6.094658
SPH1: Time: 25.000000, Points: 0.000000, Fuel Used: 18.979561
Time: 26.000000, Points: 0.000000, Fuel Used: 19.357567
Time: 27.000000, Points: 0.000000, Fuel Used: 19.687241
Time: 28.000000, Points: 0.000000, Fuel Used: 19.977219
Time: 29.000000, Points: 0.000000, Fuel Used: 20.229218
SPH2: Time: 30.000000, Points: 0.000000, Fuel Used: 6.771263
Time: 31.000000, Points: 0.000000, Fuel Used: 7.318420
Time: 32.000000, Points: 0.000000, Fuel Used: 7.762016
Time: 33.000000, Points: 0.000000, Fuel Used: 8.119301
Time: 34.000000, Points: 0.000000, Fuel Used: 8.606049
SPH1: Time: 30.000000, Points: 0.000000, Fuel Used: 20.446701
Time: 31.000000, Points: 0.000000, Fuel Used: 20.634842
Time: 32.000000, Points: 0.000000, Fuel Used: 20.797089
Time: 33.000000, Points: 0.000000, Fuel Used: 20.933441
Time: 34.000000, Points: 0.000000, Fuel Used: 21.054268
SPH2: Time: 35.000000, Points: 0.000000, Fuel Used: 9.472519
