"SPH2: time"," score","points scored"
0," 0.000000",0
1," 0.000000",0
2," 0.000000",0
3," 0.000000",0
4," 0.000000","#VALUE!"
"SPH1: time"," score","#VALUE!"
0," 0.000000",0
1," 0.000000",0
2," 0.000000",0
3," 0.000000",0
4," 0.000000",0
"SPH2: 5.000000"," 0.000000",0
6," 0.000000",0
7," 0.000000",0
8," 0.000000",0
9," 0.000000",0
"SPH1: 5.000000"," 0.000000",0
6," 0.000000",0
7," 0.000000",0
8," 0.000000",0
9," 0.000000",0
"SPH2: 10.000000"," 0.000000",0
11," 0.000000",0
12," 0.000000",0
13," 0.000000",0
14," 0.000000",0
"SPH1: 10.000000"," 0.000000",0
11," 0.000000",0
12," 0.000000",0
13," 0.000000",0
14," 0.000000",0
"SPH2: 15.000000"," 0.000000",0
16," 0.000000",0
17," 0.000000",0
18," 0.000000",0
19," 0.000000",0
"SPH1: 15.000000"," 0.000000",0
16," 0.000000",0
17," 0.000000",0
18," 0.000000",0
19," 0.000000",0
"SPH2: 20.000000"," 0.000000",0
21," 0.000000",0
22," 0.000000",0
23," 0.000000",0
"SPH1: 20.000000"," 0.000000",0
21," 0.000000",0
22," 0.000000",0
23," 0.000000",1.307329
"SPH2: 77.000000"," 1.307329",0.119575
78," 1.426904",0
79," 1.426904",0
"SPH1: 77.000000"," 1.204959",0.0300660000000001
78," 1.235025",0
79," 1.235025",0.325701
"SPH2: 80.000000"," 1.560726",0.138623
81," 1.699349",0.142367
82," 1.841716",0
83," 1.841716",0.147095
84," 1.988811",0
"SPH1: 80.000000"," 1.305720",0.0957950000000001
81," 1.401515",0.117584
82," 1.519099",0
83," 1.519099",0.135562
84," 1.654661",0.482445
"SPH2: 85.000000"," 2.137106",0.149264
86," 2.286370",0.149959
87," 2.436329",0.149351
88," 2.585680",0.148939
89," 2.734619",0
"SPH1: 85.000000"," 1.799964",0.154442
86," 1.954406",0.162856
87," 2.117262",0.170747
88," 2.288009",0.177035
89," 2.465044",0.41851
"SPH2: 90.000000"," 2.883554",0.148935
91," 3.032489",0.148935
92," 3.181424",0.148935
93," 3.330359",0.148936
94," 3.479295",0
"SPH1: 90.000000"," 2.646900",0.185238
91," 2.832138",0.187305
92," 3.019443",0.188349
93," 3.207792",0.188576
94," 3.396368",0.231331
"SPH2: 95.000000"," 3.627699",0.148035
96," 3.775734",0.148032
97," 3.923766",0.148029
98," 4.071795",0.14803
99," 4.219825",0
"SPH1: 95.000000"," 3.584606",0.18785
96," 3.772456",0.188159
97," 3.960615",0.188855
98," 4.149470",0.189565
99," 4.339035",0.0291389999999998
"SPH2: 100.000000"," 4.368174",0.14795
101," 4.516124",0.147950000000001
102," 4.664074",0.147952999999999
103," 4.812027",0.147954
104," 4.959981",0
"SPH1: 100.000000"," 4.529522",0.191743
